,artist_name,track_name,song_id
264,deftones,dai the flu,2cN7qiHMJflO91pkG9HoO1
265,will downing,king of fools,1fF3kyMbwpWXsF7yuN2Na2
266,sarah mclachlan,building a mystery,3ozomn4PrGEKEuusxX2HpC
267,roy orbison,in the real world,0D22PG0awRmq6XlCicjRdO
268,rascal flatts,words i couldn't say,4vL2P2XmNAdVRPPCobm4OX
269,rae sremmurd,this could be us,4jTiyLlOJVJj3mCr7yfPQD
270,michael franks,one day in st. tropez,0VzKg8VHyLf83YgiyAetad
272,lamb,we fall in love,45uMioMjbRjygkXbSOkoIq
273,savoy brown,why did you hoodoo me,4VSJr3RHWy1ApnCxzuriun
274,kid ink,show me (feat. chris brown),4q6dqyGM25sKFU8nYAGRe4
275,angels & airwaves,do it for me now,4WHKtppIjpkBhXlHYl2JyO
276,carl smith,san antonio rose,2pcMa6CAODei0Q0QrDrnGa
277,tessanne chin,hideaway,4pKDCHTn9PX1kPL0Ou2Pne
278,judy garland,swanee,4bxrzL9ZRj3WEouHhQU3ff
279,jj grey & mofro,nare sugar,0nFosauGU6ARw57fvQ7cgg
280,etta james,anything to say you're mine,01R3dELmvQpeCgQQGHQPS6
281,roots radics,throw away your gun,3XQgT6YH9iiEvsf26RAaWC
282,blossom dearie,lover man (oh where can you be),6R9KBVibYQz0OjFSDlPdrn
283,sugarland,stuck like glue,0JcKdUGNR7zI4jJDLyYXbi
284,wavves,nine is god,5ZGM626be3ItMW4UPjfqdY
285,joe bonamassa,feelin good,54TMMZ6ILa0d4IZ3ANQ7Fs
286,*nsync,pop,0Jc8qF1mUPo1A96HE9QxZz
287,rjd2,take the picture off,0tGQ82X2sKge6qburuenA8
288,blackbird hill,to & fros,3mMmAS4MzTVAOKkWPn9X1s
289,sweet,fox on the run,4uip0lLkMKl1nwchsdXs1r
290,korn,alive,0q4Wvh13msslMC0awO54Qw
291,ricky van shelton,you would do the same for me,4xwgDYIrg42f8yKPyjJdr2
292,willie nelson,local memory,69iCzgBmaIaixkbajyrlyC
293,nofx,linoleum,4uB28m7RAflobYpnLMb6A2
294,warren g,nobody does it better,7miy73aP7NFhj8PL7V4VqM
295,social distortion,under my thumb,6RBLcDQvA3VgQ8vHoXoo0v
296,slayer,postmortem,1WywY6JdJcMlswZpqUPhSM
297,the j. geils band,"insane, insane again",0ON952urivl5pUtUg3ExJm
298,don williams,time on my hands,4RbFwfeHwtkKfuVbGCY7F2
299,uncle kracker,my girlfriend,4gLYQqZf379ZMg50uR6Axh
300,loon,relax your mind,3PsenMPVKqldiE2vq30UCq
301,helmet,unsung,0z25tUQgEI4cIyNZ1TgWig
302,iron maiden,phantom of the opera,35Pd77NZsD5jbqN9BHzWK5
303,charley patton,shake it and break it (but don't let it fall mama),6niFK347hm2Hwyy2MpBedq
304,slave,son of slide,2XGLdVl7lGeq8ksM6Al7jT
305,marilyn manson,antichrist superstar,6XN91pyNTEtP2o1SZY5Cwk
306,kris kristofferson,lover please,6qWghjy2JTn4tnqSyagJGC
307,prince far i,armageddon,7jwBG3Ay5XMXGt74U1X89J
308,astrud gilberto,fly me to the moon,7ilc2TB1RZXbQJyFs5qCiC
309,groundation,the seventh seal,0ydLewlsTax0SArEVPUIqi
310,ella fitzgerald,soon,6FWtmmLX3pJEhKdS0OwPTc
311,joe bonamassa,distant lonesome train,5vfIDmCX6GrF5y5JefwsX7
312,the everly brothers,"oh, true love",1obD012YaIAnvHZ3rvM4TS
313,alice cooper,the great american success story,5daLdnFH0xbIxDD0l3bKpG
314,dave matthews band,big eyed fish,2t34JLaa7IMm07Ut0Z1Vi7
315,waylon jennings,lonely weekends,0XZYP23bWVbwYsp0wtYnrW
316,dolly parton,wildest dreams,75NCNTwo4hEcRPcHzABKhS
317,violent femmes,i held her in my arms,19Kz5zGwIu61QLEyMnlZZk
318,the dream academy,the edge of forever,0ZljhJQbm611zf5ttHz43n
320,merle haggard,i take a lot of pride in what i am,0Mr36KWkYYXqWHyAhkdF8w
321,steve earle,goodbye,3RWYPQpOdC4YrZJCrFWjZi
322,stephen bishop,separate lives,41A1eR06c1MIZwkfkME4z2
323,the replacements,somethin to dü,6bc3Z851377kU4Jd7xAyqJ
324,ty dolla $ign,"or nah (feat. the weeknd, wiz khalifa & dj mustard)",7t2bFihaDvhIrd2gn2CWJO
325,the black crowes,descending,47VIOQHt2EJ05M1PwIhsBY
326,randy travis,my greatest fear,27K0NTi4jiLavC2buCg7KE
327,damn yankees,don't tread on me,1gw3nz0tcMNwMO2ZwFT8OE
328,blind pilot,three rounds and a sound,44BGoGw0sUc0Txh8Y4ZyFg
329,the kingston trio,away rio,3kETWJsuc2ZtrVnx1EUHzd
330,selena,i could fall in love,3ACQkIMv6nGYHRpPGyS4BK
331,graveyard,evil ways,0Ov7lkjwIG07yduENnYDMo
332,céline dion,(you make me feel like) a natural woman,6yfx76QsLGsfkaPoCFliZ5
333,sublime with rome,only,4YbtI1eBf4RYNGw1foeiOu
334,kid cudi,maniac,6R4flNWy1pWkjzwg3TCDlM
335,dean martin,good mornin' life,3AnTfM2O5kUtlZfZ5O3hyB
336,damian marley,the struggle discontinues,00WYhQfePiig46dGdKurff
337,wings,wild life,0DtItzol85j6j5F9j9V36Q
338,john brown's body,so aware,417Tsbh8ZT6sZFunsW86zV
339,elvis presley,give me the right,6J2aa2t6SoYZbd6PSeN8th
340,roger miller,you can't roller skate in a buffalo herd,4tTTwVxeUthDX37BUw1plJ
341,vince gill,whenever you come around,3PHLZ5wmtyZha1pp2405OT
342,the kooks,sweet emotion,0hIGUS1PQbv5NIrHIf6Fza
343,iration,wait and see,2CoGg71SqwNgriNkOLClae
344,mark chesnutt,too good a memory,74WfYekYIlUJK52HF27Vzb
345,willie nelson,go on home,6LVvlj9lLuyR9Qg4HryJrI
346,david bowie,as the world falls down,2elAyF0DLb10MWj76pU6pP
347,the meters,i need more time,241F15l33UW1B2U98cotho
348,collective soul,better now,39kNd3YjHI2s8RBOcmtz0f
349,melanie,close to it all,5u3r67mBw1dGXsN73MNNn9
350,tyler bryant & the shakedown,downtown tonight,1k7o67gk8hle7UfwC4t7bo
351,easy star all-stars,money,5QREkNN2kAKUsXppK9Vrcu
352,kyle park,yours and mine,67qVKeLbL6IyHAeK5qoMzP
353,yungblud,anarchist,3vVkxjrTP4SM1Ogq68LoXW
354,the cramps,primitive,4FKvX77CY4m1zmnXfWwim4
355,the smithereens,blood and roses,0TGA69v94LfE6ZZNxLzROZ
356,perry como,it's impossible,0TzaZYgwpW6Znv6msEQ5ET
357,patsy cline,you were only fooling (while i was falling in love),58Fvi9zFWZRZYBaywJri0H
358,deep purple,child in time,5TrfusgKC1BYic5LaWCoKm
359,julian marley,lion in the jungle,6I7Rx2mZ9zARHGuPl7pye1
360,electric light orchestra,secret messages,4iOFENARPfS3d6P9rCQ2to
361,ray price,the old rugged cross,09eQldP9e1ePBlc83Vylkm
362,faron young,if you ain't lovin' (you ain't livin'),7oanidqUgZO3GxXugm2ucC
363,ace of base,don't turn around,4SYMibQ93bfzOk6uzkF0dO
364,bone thugs-n-harmony,everyday thugs,1OkKdAIxbM7Ic0dJ1rXw2W
365,hirie,i wanna be,3jQdNmYNZxfJRwpi3Hd265
366,eilen jewell,high shelf booze,7aHcoaN1I1ZxKmZrHO2X4M
367,bob james,unicorn,5OLHaRhvUdVmv58yVkBMiK
368,joe bonamassa,self-inflicted wounds,0r61QhigETeOXpl03u1nSV
369,j.j. cale,changes,2GXNOmYn3EAf7xcFZsgg1P
370,jim stafford,swamp witch,74hM58NEw4o6SNKqBBI7IL
371,nat king cole,straighten up and fly right,3vXRZhHnVB3Z5scbRgH1ah
372,slightly stoopid,this joint,6wxGZ8D8lAuJpocaTAVVyL
374,jr. walker & the all stars,walk in the night,0C4CdjZponKJGIaTvLVP53
375,ella fitzgerald,bess you is my woman now,4nGdWMAi7zChqNfuMzUHxc
376,luke bryan,blood brothers,4ggPIxXwOWReIBfyCVW8QI
377,ray vega,birks' works,46M1GannlPXGA7EbmvwPmH
378,jamie n commons,glory,6AXIgQRvorhGyeBM0Jby9E
379,kansas,all the world,42qCWNVGjcCYNVPBInBLMe
380,neil diamond,stones,6XuClyVHchX96u6KV10NkE
381,silver jews,i remember me,09OSyzWjBxBaQqEH90ZFfJ
382,laura nyro,the bells,0GpkBFuZzYVvyuSSIjAKFZ
383,hollywood undead,young,5koyOdvQU9AUgPMA14N4mD
384,spandau ballet,true,0CsM8VGDi38kusMv3pxyj1
385,dan fogelberg,face the fire,7BC5gPMaUq1tRowfL3h97c
386,tool,ænema,0nLOl4fSiBZKGFla5pLUtf
387,susan tedeschi,loving you is sweeter than ever,5OwOfn0Ihle2WLudoH22wj
388,heartless bastards,my maker,6GkC6QyJ5xGwIy5H0TDxe8
389,muse,blackout,4Q0CesDHTEoo7HqgE7QPY6
390,a tribe called quest,everything is fair,33d7n0d2Ou4wQ5AcLrLTav
391,willie nelson,(how will i know) i'm falling in love again,2aODUMrXCZ4DD7A1uqogn0
392,poco,heart of the night,6fNID7koTl1dZBCs6FmK4E
393,al green,"are you lonely for me, baby",1oX2F2w07GFaLsa99DD5q0
394,future,wicked,6BbINUfGabVyiNFJpQXn3x
395,kesha,blah blah blah (feat. 3oh!3),7lWUJpax919G4JdaFEVmCy
396,nine inch nails,reptile,1HS0wlHdPGElgTYf81bA0S
398,head east,lovin' me along,0TRANsH3eagT81SFfWbf6v
399,curtis salgado,i want my dog to live longer (the greatest wish),4SCge41oDQOTIcfmhnYvAQ
400,al kooper,i stand alone,3NVTVlnM6LOvDIVswOjEqV
401,free,come together in the morning,1jmAqm1VJ6Sa3fnuiSSrKa
402,aretha franklin,every little bit hurts,41nfKxXxJtf38uAk4DNy1a
